gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1324446307																										urn:catalog:O:B:1296/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:1296/1	1296/1		E. Jørgensen																																	1900	07	23												EU				Norway		Sogn og Fjordane	Bremanger		Rugsund												61.88705	5.34643		1414																																						J. Vana	1984-00-00												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1324446283																										urn:catalog:O:B:12079/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:12079/1	12079/1		E. Jørgensen																																	1925	07	15												EU				Norway		Sogn og Fjordane	Bremanger		Davik: Åsskårfossen i Ålfot, nederst ved østre gren												61.80989	5.66900		707																																						A. C. Crundwell, Geir Løe, Kristian Hassel	2005-05-30												Herbertus stramineus								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus						(Dumort.) Trevis.					
1324445528																										urn:catalog:O:B:21259/3													2016-06-16																				O	B			PreservedSpecimen				urn:catalog:O:B:21259/3	21259/3		B. Kaalaas																																	1889	07	26												EU				Norway		Hordaland	Kvinnherad		Kvinnherad, Sunde, Melkhangfjell												59.86431	5.84776		707																																						E. Jørgensen	1889-07-26												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1324445515																										urn:catalog:O:B:21305/2													2016-06-20																				O	B			PreservedSpecimen				urn:catalog:O:B:21305/2	21305/2		Per Størmer																																	1949	08	24												EU				Norway		Sogn og Fjordane	Bremanger		Davik: Førde												61.81746	5.61119		37759																																						Per Størmer	1949-08-24												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1324444760																										urn:catalog:O:B:12073/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:12073/1	12073/1		E. Jørgensen																																	1920	08	12												EU				Norway		Sogn og Fjordane	Bremanger		Svælgen, på berg ovenfor Rise												61.76279	5.23790		707																																						Lars Söderström, Kristian Hassel	2005-05-30												Herbertus stramineus								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus						(Dumort.) Trevis.					
1324444746																										urn:catalog:O:B:12057/1													2016-06-20																				O	B			PreservedSpecimen				urn:catalog:O:B:12057/1	12057/1		B. Kaalaas																																	1900	08	13												EU				Norway		Rogaland	Gjesdal		Frafjord i Høgsfjord, Ryfylke												58.84569	6.30499		1803																																						Lars Söderström, Kristian Hassel	2005-05-30												Herbertus stramineus								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus						(Dumort.) Trevis.					
1324444726																										urn:catalog:O:B:12060/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:12060/1	12060/1		Per Størmer																																	1943	08	07												EU				Norway		Hordaland	Kvinnherad		Haaland in Kvinnherad												59.98543	6.03351		707																																						Lars Söderström, Kristian Hassel	2005-05-30												Herbertus stramineus								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus						(Dumort.) Trevis.					
1324443629																										urn:catalog:O:B:4990/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:4990/1	4990/1		Sophie Møller																																															EU				Norway		Buskerud	Modum		Modum												59.93876	9.98426		7071																																						Sophie Møller, Kristian Hassel	0000-00-00												Fissidens exilis								Plantae	Bryophyta	Bryopsida	Dicranales	Fissidentaceae	Fissidens						Hedw.					
1324442993																										urn:catalog:O:B:1291/1													2016-06-20																				O	B			PreservedSpecimen				urn:catalog:O:B:1291/1	1291/1		E. Jørgensen																																	1920	07	03												EU				Norway		Sogn og Fjordane	Askvoll		Yndestad (S.fjord) ovenfor Stafsnes												61.43165	5.12776		1118																																						E. Jørgensen, J. Vana	1920-07-03												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1324442987																										urn:catalog:O:B:1272/1													2016-06-15																				O	B			PreservedSpecimen				urn:catalog:O:B:1272/1	1272/1		E. Jørgensen																																	1922	07	28												EU				Norway		Sogn og Fjordane	Gloppen		Hyen: Mjellemseggen-Raubergvann												61.64469	5.90403		2500																																						E. Jørgensen	1922-07-28												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
