gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
1042406548																										urn:catalog:TRH:B:773606/1										CC_BY_4_0			2014-10-27T00:00:00Z																				TRH	B			PRESERVED_SPECIMEN				urn:catalog:TRH:B:773606/1	773606/1	M852Høi	Torbjørn Høitomt																												2012-10-08T00:00:00Z				2012	10	8		På naken leire i ravinedal														NO	Akershus	Nannestad		Krokfoss, parallell ravinedal rett sør for fossen								60.1292	11.0787	1.0																																			Torbjørn Høitomt	2012-10-08T00:00:00Z												Fissidens exilis Hedwig, 1801								Plantae	Bryophyta	Bryopsida	Fissidentales	Fissidentaceae	Fissidens		exilis		SPECIES				ACCEPTED			6728c42d-c4b6-4fda-a211-5ad1bb59cda4	NO	2018-07-07T16:24:42.402Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	5283214	5283214	6	35	327	1336	4643	2673216		5283214	Fissidens exilis	Fissidens	Fissidens exilis Hedwig, 1801		DWC_ARCHIVE	2016-12-21T00:42:31.990Z	2018-11-25T14:41:59.459Z	true
1042406047																										urn:catalog:TRH:B:4690/1										CC_BY_4_0			2017-01-11T00:00:00Z																				TRH	B	Artsprosjekt_61-12_Liverworts of western Norway		PRESERVED_SPECIMEN				urn:catalog:TRH:B:4690/1	4690/1		John Bjarne Jordal																												2014-06-17T00:00:00Z				2014	6	17		På marka i nordvendt fukthei						Artsprosjekt 2013-15								NO	Sogn og Fjordane	Bremanger		Bortnedalen, SØ for Bortnestøylen								61.8505	5.4994	1.0																																			John Bjarne Jordal	2014-06-17T00:00:00Z												Anastrophyllum donnianum (Hook.) Steph.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		donnianum		SPECIES				ACCEPTED			6728c42d-c4b6-4fda-a211-5ad1bb59cda4	NO	2018-07-07T16:21:31.318Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	2689413	2689413	6	9	126	381	2292	2689412		2689413	Anastrophyllum donnianum	Anastrophyllum	Anastrophyllum donnianum (Hook.) Steph.		DWC_ARCHIVE	2017-01-31T01:35:45.798Z	2018-11-25T14:42:27.909Z	true
1042406030																										urn:catalog:TRH:B:4687/1										CC_BY_4_0			2017-01-11T00:00:00Z																				TRH	B	Artsprosjekt_61-12_Liverworts of western Norway		PRESERVED_SPECIMEN				urn:catalog:TRH:B:4687/1	4687/1		John Bjarne Jordal																												2014-06-17T00:00:00Z				2014	6	17		På marka i fukthei, nordvendt						Artsprosjekt 2013-15								NO	Sogn og Fjordane	Bremanger		Bortnedalen, SV for Bortnestøylen								61.8498	5.4713	1.0																																			John Bjarne Jordal	2014-06-17T00:00:00Z												Anastrophyllum donnianum (Hook.) Steph.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		donnianum		SPECIES				ACCEPTED			6728c42d-c4b6-4fda-a211-5ad1bb59cda4	NO	2018-07-07T16:21:31.429Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	2689413	2689413	6	9	126	381	2292	2689412		2689413	Anastrophyllum donnianum	Anastrophyllum	Anastrophyllum donnianum (Hook.) Steph.		DWC_ARCHIVE	2017-01-31T01:35:59.407Z	2018-11-25T14:41:59.641Z	true
1042405500																										urn:catalog:TRH:B:670360/1										CC_BY_4_0			2014-10-27T00:00:00Z																				TRH	B			PRESERVED_SPECIMEN				urn:catalog:TRH:B:670360/1	670360/1		Geir Løe																												1997-09-25T00:00:00Z				1997	9	25		Nord- til vestvendt bergvegg i skar														NO	Sogn og Fjordane	Selje		Honningsvåg, Vågsvarden								62.19282	5.17423	71.0																																			Geir Løe	1997-09-25T00:00:00Z												Herbertus stramineus (Dumort.) Trevis.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus		stramineus		SPECIES				ACCEPTED			6728c42d-c4b6-4fda-a211-5ad1bb59cda4	NO	2018-07-07T16:25:08.869Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	4276928	4276928	6	9	126	381	2282	2689385		4276928	Herbertus stramineus	Herbertus	Herbertus stramineus (Dumort.) Trevis.		DWC_ARCHIVE	2016-12-21T00:42:09.703Z	2018-11-25T14:42:08.894Z	true
1042405383																										urn:catalog:TRH:B:670353/1										CC_BY_4_0			2014-10-27T00:00:00Z																				TRH	B			PRESERVED_SPECIMEN				urn:catalog:TRH:B:670353/1	670353/1		Geir Løe, Trond Einar Brobakk, Kristian Hassel																												1996-06-19T00:00:00Z				1996	6	19																NO	Sogn og Fjordane	Bremanger		Mulen, Kjelkenes								61.73776	5.13231	71.0																																			Geir Løe, Trond Einar Brobakk, Kristian Hassel	1996-06-19T00:00:00Z												Herbertus stramineus (Dumort.) Trevis.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus		stramineus		SPECIES				ACCEPTED			6728c42d-c4b6-4fda-a211-5ad1bb59cda4	NO	2018-07-07T16:25:08.947Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	4276928	4276928	6	9	126	381	2282	2689385		4276928	Herbertus stramineus	Herbertus	Herbertus stramineus (Dumort.) Trevis.		DWC_ARCHIVE	2016-12-06T22:35:38.930Z	2018-11-25T14:42:18.379Z	true
1042405108																										urn:catalog:TRH:B:60140/1										CC_BY_4_0			2014-10-27T00:00:00Z																				TRH	B			PRESERVED_SPECIMEN				urn:catalog:TRH:B:60140/1	60140/1		Per Størmer																												1949-08-24T00:00:00Z				1949	8	24		Som bunnskikt i Calluna-bestand ved en foss														NO	Sogn og Fjordane	Førde		Davik: Førde								61.45495	5.85718	707.0																																			Per Størmer	1949-08-24T00:00:00Z												Anastrophyllum donnianum (Hook.) Steph.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		donnianum		SPECIES				ACCEPTED			6728c42d-c4b6-4fda-a211-5ad1bb59cda4	NO	2018-07-07T16:21:31.463Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	2689413	2689413	6	9	126	381	2292	2689412		2689413	Anastrophyllum donnianum	Anastrophyllum	Anastrophyllum donnianum (Hook.) Steph.		DWC_ARCHIVE	2016-12-21T00:42:48.573Z	2018-11-25T14:42:02.892Z	true
1042404328																										urn:catalog:TRH:B:164579/1										CC_BY_4_0			2014-10-27T00:00:00Z																				TRH	B			PRESERVED_SPECIMEN				urn:catalog:TRH:B:164579/1	164579/1		Elling Ryan																												1904-04-18T00:00:00Z				1904	4	18																NO	Østfold	Fredrikstad		Kråkerö, Röd								59.19644	10.91703	707.0																																			Kristian Hassel	2004-08-16T00:00:00Z												Fissidens exilis Hedwig, 1801								Plantae	Bryophyta	Bryopsida	Fissidentales	Fissidentaceae	Fissidens		exilis		SPECIES				ACCEPTED			6728c42d-c4b6-4fda-a211-5ad1bb59cda4	NO	2018-11-23T14:40:47.944Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	5283214	5283214	6	35	327	1336	4643	2673216		5283214	Fissidens exilis	Fissidens	Fissidens exilis Hedwig, 1801		DWC_ARCHIVE	2018-11-23T14:40:47.928Z	2018-11-25T14:42:09.004Z	true
1042404304																										urn:catalog:TRH:B:164574/1										CC_BY_4_0			2014-10-27T00:00:00Z																				TRH	B			PRESERVED_SPECIMEN				urn:catalog:TRH:B:164574/1	164574/1		Elling Ryan																												1898-05-01T00:00:00Z				1898	5	1																NO	Østfold	Fredrikstad		Onsø, Ørebæk								59.2326	10.90153	707.0																																			Kristian Hassel	2004-08-16T00:00:00Z												Fissidens exilis Hedwig, 1801								Plantae	Bryophyta	Bryopsida	Fissidentales	Fissidentaceae	Fissidens		exilis		SPECIES				ACCEPTED			6728c42d-c4b6-4fda-a211-5ad1bb59cda4	NO	2018-11-23T14:42:11.919Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	5283214	5283214	6	35	327	1336	4643	2673216		5283214	Fissidens exilis	Fissidens	Fissidens exilis Hedwig, 1801		DWC_ARCHIVE	2018-11-23T14:42:11.887Z	2018-11-25T14:41:44.499Z	true
1042404286																										urn:catalog:TRH:B:164566/1										CC_BY_4_0			2014-10-27T00:00:00Z																				TRH	B			PRESERVED_SPECIMEN				urn:catalog:TRH:B:164566/1	164566/1		Ingebrigt Hagen																												1913-05-12T00:00:00Z				1913	5	12		ad ripam argillosam rivuli														NO	Sør-Trøndelag	Trondheim		Selsbak								63.38753	10.37063	707.0																																			Kristian Hassel	2004-08-17T00:00:00Z												Fissidens exilis Hedwig, 1801								Plantae	Bryophyta	Bryopsida	Fissidentales	Fissidentaceae	Fissidens		exilis		SPECIES				ACCEPTED			6728c42d-c4b6-4fda-a211-5ad1bb59cda4	NO	2018-11-16T14:46:32.415Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	5283214	5283214	6	35	327	1336	4643	2673216		5283214	Fissidens exilis	Fissidens	Fissidens exilis Hedwig, 1801		DWC_ARCHIVE	2018-11-16T14:46:32.310Z	2018-11-25T14:41:44.475Z	true
1042404267																										urn:catalog:TRH:B:164563/1										CC_BY_4_0			2014-10-27T00:00:00Z																				TRH	B			PRESERVED_SPECIMEN				urn:catalog:TRH:B:164563/1	164563/1		V. V. Cypers																																																		NO	Sør-Trøndelag	Trondheim		ad Ilsvigen								63.43248	10.36275	1118.0																																			Kristian Hassel	2004-08-17T00:00:00Z												Fissidens exilis Hedwig, 1801								Plantae	Bryophyta	Bryopsida	Fissidentales	Fissidentaceae	Fissidens		exilis		SPECIES				ACCEPTED			6728c42d-c4b6-4fda-a211-5ad1bb59cda4	NO	2018-07-07T16:24:42.292Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	5283214	5283214	6	35	327	1336	4643	2673216		5283214	Fissidens exilis	Fissidens	Fissidens exilis Hedwig, 1801		DWC_ARCHIVE	2016-12-06T22:33:39.781Z	2018-11-25T14:41:44.506Z	true
