Slekt	Art	PopulærnavnBokmål	PopulærnavnNynorsk
Sphagnum	divinum	abelstorvmose	abelstorvmose
Artemisia	abrotanum	abrodd	abrodd
Artemisia	paniculata	abrodd	abrodd
Solanum	adventitium	adventivsøtvier	adventivsøtvier
Solanum	americanum	adventivsøtvier	adventivsøtvier
Solanum	curtipes	adventivsøtvier	adventivsøtvier
Eleusine	africana	afrikahirse	afrikahirse
Eleusine	indica	afrikahirse	afrikahirse
Chenopodium	foetidum	afrikamelde	afrikamelde
Chenopodium	schraderanum	afrikamelde	afrikamelde
Dysphania	schraderiana	afrikamelde	afrikamelde
Chenopodium	schraderianum	afrikamelde	afrikamelde
Carex	divulsa	agderstarr	agderstorr
Carex	divulsa	agderstarr	agderstorr
Carex	leersi	agderstarr	agderstorr
Carex	leersii	agderstarr	agderstorr
Carex	muricata	agderstarr	agderstorr
Carex	polyphylla	agderstarr	agderstorr
Carpinus	betulus	agnbøk	agnbøk
Cirriphyllum	filiforme	agnelundmose	agnelundmose
Sciuro-hypnum	flotowianum	agnelundmose	agnelundmose
Hypnum	flotowianum	agnelundmose	agnelundmose
Eurhynchium	flotowianum	agnelundmose	agnelundmose
Hypnum	reichenbachianum	agnelundmose	agnelundmose
Cirriphyllum	reichenbachianum	agnelundmose	agnelundmose
Hypnum	velutinoides	agnelundmose	agnelundmose
Eurhynchium	velutinoides	agnelundmose	agnelundmose
Cirriphyllum	velutinoides	agnelundmose	agnelundmose
Uncinia	microglochin	agnorstarr	agnorstorr
Carex	microglochin	agnorstarr	agnorstorr
Cucumis	sativus	agurk	agurk
Borrago	officinalis	agurkurt	agurkurt
Borago	officinalis	agurkurt	agurkurt
Aquilegia	vulgaris	akeleie	akeleie
Thalictrum	aquilegifolium	akeleiefrøstjerne	akeleiefrøstjerne
Thalictrum	aquilegiifolium	akeleiefrøstjerne	akeleiefrøstjerne
Lophozia	latifolia	aksflik	aksflik
Luzula	spicata	aksfrytle	aksfrytle
Juncus	spicatus	aksfrytle	aksfrytle
Cephalozia	macrostachya	aksglefsemose	aksglefsemose
Cephalozia	macrostachya	aksglefsemose	aksglefsemose
Cephalozia	multiflora	aksglefsemose	aksglefsemose
Cephalozia	spiniflora	aksglefsemose	aksglefsemose
Verbena	rigida	aksjernurt	aksjernurt
Cryphaea	heteromalla	aksmose	aksmose
Ligularia	przewalskii	aksnøkketunge	aksnykketunge
Dicranum	bonjeanii	akssigd	akssigd
Dicranum	bonjeanii	akssigd	akssigd
Dicranum	leioneuron	akssigd	akssigd
Liatris	spicata	akssøyleblom	akssøyleblom
Myriophyllum	spicatum	akstusenblad	akstusenblad
Myriophyllum	spicatum	akstusenblad	akstusenblad
Scapania	aequiloba	akstvebladmose	akstvebladmose
Martinellia	aequiloba	akstvebladmose	akstvebladmose
Jungermannia	aequiloba	akstvebladmose	akstvebladmose
Scapania	minuta	akstvebladmose	akstvebladmose
Scapania	rupestris	akstvebladmose	akstvebladmose
Radula	rupestris	akstvebladmose	akstvebladmose
Martinellia	rupestris	akstvebladmose	akstvebladmose
Jungermannia	rupestris	akstvebladmose	akstvebladmose
Scapania	tyrolensis	akstvebladmose	akstvebladmose
Martinellia	tyrolensis	akstvebladmose	akstvebladmose
Jungermannia	tyrolensis	akstvebladmose	akstvebladmose
Veronica	spicata	aksveronika	aksveronika
Pseudolysimachium	spicatum	aksveronika	aksveronika
Pseudolysimachion	spicatum	aksveronika	aksveronika
Inula	helenium	alantrot	alantrot
Sanguisorba	×menziesii	alaskablodtopp	alaskablodtopp
Sanguisorba	menziesii	alaskablodtopp	alaskablodtopp
Sanguisorba	x menziesii	alaskablodtopp	alaskablodtopp
Sanguisorba	xmenziesii	alaskablodtopp	alaskablodtopp
Cornus	alba	alaskakornell	alaskakornell
Thelycrania	sericea	alaskakornell	alaskakornell
Swida	sericea	alaskakornell	alaskakornell
Svida	sericea	alaskakornell	alaskakornell
Cornus	sericea	alaskakornell	alaskakornell
Thelycrania	stolonifera	alaskakornell	alaskakornell
Cornus	stolonifera	alaskakornell	alaskakornell
Epilobium	adenocaulon	alaskamjølke	alaskamjølke
Epilobium	ciliatum	alaskamjølke	alaskamjølke
Epilobium	ciliatum	alaskamjølke	alaskamjølke
Epilobium	glandulosum	alaskamjølke	alaskamjølke
Salix	alaxensis	alaskavier	alaskavier
Salix	speciosa	alaskavier	alaskavier
Rosa	×alba	albarose	albarose
Centaurea	algeriensis	algerieknoppurt	algerieknoppurt
Rubus	allegheniensis	alleghenybjørnebær	alleghenybjørnebær
Ulmus	glabra	alm	alm
Orthotrichum	philibertii	almebustehette	almebustehette
Orthotrichum	schimperi	almebustehette	almebustehette
Tortula	laevipila	almehårstjerne	almehårstjerne
Tortula	laevipila	almehårstjerne	almehårstjerne
Syntrichia	laevipila	almehårstjerne	almehårstjerne
Barbula	laevipila	almehårstjerne	almehårstjerne
Barbula	laevipila	almehårstjerne	almehårstjerne
Tortula	laevipiliformis	almehårstjerne	almehårstjerne
Porella	platyphylla	almeteppemose	almeteppemose
Porella	platyphylla	almeteppemose	almeteppemose
Madotheca	platyphylla	almeteppemose	almeteppemose
Madotheca	platyphylla	almeteppemose	almeteppemose
Madotheca	platyphylla	almeteppemose	almeteppemose
Jungermannia	platyphylla	almeteppemose	almeteppemose
Jungermannia	platyphylla	almeteppemose	almeteppemose
Madotheca	porella	almeteppemose	almeteppemose
Sorbus	mougeotii	alpeasal	alpeasal
Hedlundia	mougeotii	alpeasal	alpeasal
Aster	alpinus	alpeasters	alpeasters
Aster	chrysocomoides	alpeasters	alpeasters
Pinus	mugo	alpebergfuru	alpebergfuru
Epimedium	alpinum	alpebispelue	alpebispeluve
Myosotis	alpestris	alpeforglemmegei	alpeminneblom
Alnus	alnobetula	alpegrønnor	alpegrønor
Betula	viridis	alpegrønnor	alpegrønor
Alnus	viridis	alpegrønnor	alpegrønor
Alnus	viridis	alpegrønnor	alpegrønor
Laburnum	alpinum	alpegullregn	alpegullregn
Cytisus	alpinus	alpegullregn	alpegullregn
Rumex	alpinus	alpehøymol	alpehøymole
Rumex	pseudo-alpinus	alpehøymol	alpehøymole
Rumex	pseudoalpinus	alpehøymol	alpehøymole
Chaerophyllum	hirsutum	alpekjeks	alpekjeks
Encalypta	microstoma	alpeklokkemose	alpeklokkemose
Lonicera	alpigena	alpeleddved	alpeleddved
Oreas	martiana	alpemose	alpemose
Clematis	alpina	alperanke	alperanke
Clematis	alpina	alperanke	alperanke
Clematis	alpina	alperanke	alperanke
Atragene	alpina	alperanke	alperanke
Atragene	alpina	alperanke	alperanke
Ribes	alpinum	alperips	alperips
Draba	fladnizensis	alperublom	alperublom
Scutellaria	alpina	alpeskjoldbærer	alpeskjoldberar
Persicaria	alpina	alpeslirekne	alpeslirekne
Polygonum	alpinum	alpeslirekne	alpeslirekne
Pleuropteropyrum	alpinum	alpeslirekne	alpeslirekne
Aconogonum	alpinum	alpeslirekne	alpeslirekne
Aconogonon	alpinum	alpeslirekne	alpeslirekne
Polygonum	undulatum	alpeslirekne	alpeslirekne
Pleuropteropyrum	undulatum	alpeslirekne	alpeslirekne
Euonymus	latifolius	alpespolebusk	alpespolebusk
Eryngium	alpinum	alpestikle	alpestikle
Cicerbita	orbelica	alpeturt	alpeturt
Sonchus	plumieri	alpeturt	alpeturt
Mulgedium	plumieri	alpeturt	alpeturt
Lactuca	plumieri	alpeturt	alpeturt
Cicerbita	plumieri	alpeturt	alpeturt
Papaver	alpinum	alpevalmue	alpevalmue
Tortella	alpicola	alpevrimose	
Trifolium	fistulosum	alsikekløver	alsikekløver
Trifolium	hybridum	alsikekløver	alsikekløver
Intybus	multicaulis	altaihaukeskjegg	altaihaukeskjegg
Crepis	multicaulis	altaihaukeskjegg	altaihaukeskjegg
Hypnum	pellucidum	alvemose	alvemose
Limprichtia	vernicosa	alvemose	alvemose
Scorpidium	vernicosum	alvemose	alvemose
Hypnum	vernicosum	alvemose	alvemose
Harpidium	vernicosum	alvemose	alvemose
Amblystegium	vernicosum	alvemose	alvemose
Stereodon	vernicosus	alvemose	alvemose
Hamatocaulis	vernicosus	alvemose	alvemose
Drepanocladus	vernicosus	alvemose	alvemose
Drepanocladus	vernicosus	alvemose	alvemose
Axyris	amaranthoides	amarantmelde	amarantmelde
Parietaria	pensylvanica	amerikablidnesle	amerikablidnesle
Rorippa	hispida	amerikabrønnkarse	amerikabrunnkarse
Brachilobus	hispidus	amerikabrønnkarse	amerikabrunnkarse
Rorippa	palustris	amerikabrønnkarse	amerikabrunnkarse
Rorippa	palustris	amerikabrønnkarse	amerikabrunnkarse
Chenopodium	gigantospermum	amerikahjertemelde	amerikahjartemelde
Chenopodium	hybridum	amerikahjertemelde	amerikahjartemelde
Chenopodium	simplex	amerikahjertemelde	amerikahjartemelde
Chenopodiastrum	simplex	amerikahjertemelde	amerikahjartemelde
Geum	macrophyllum	amerikahumleblom	amerikahumleblom
Sambucus	pubens	amerikahyll	amerikahyll
Sambucus	racemosa	amerikahyll	amerikahyll
Rumex	mexicanus	amerikahøymol	amerikahøymole
Rumex	mexicanus	amerikahøymol	amerikahøymole
Rumex	salicifolius	amerikahøymol	amerikahøymole
Rumex	salicifolius	amerikahøymol	amerikahøymole
Rumex	triangulivalvis	amerikahøymol	amerikahøymole
Fumaria	sempervirens	amerikalerkespore	amerikalerkespore
Corydalis	sempervirens	amerikalerkespore	amerikalerkespore
Capnoides	sempervirens	amerikalerkespore	amerikalerkespore
Chenopodium	desiccatum	amerikamelde	amerikamelde
Chenopodium	leptophyllum	amerikamelde	amerikamelde
Epilobium	ciliatum	amerikamjølke	amerikamjølke
Potentilla	hirsuta	amerikamure	amerikamure
Potentilla	norvegica	amerikamure	amerikamure
Urtica	dioica	amerikanesle	amerikanesle
Urtica	gracilis	amerikanesle	amerikanesle
Scutellaria	lateriflora	amerikansk skjoldbærer	
Cuscuta	arvensis	amerikasnyltetråd	amerikasnikjetråd
Cuscuta	campestris	amerikasnyltetråd	amerikasnikjetråd
Geranium	bicknellii	amerikastorkenebb	amerikastorkenebb
Actaea	rubra	amerikatrollbær	amerikatrollbær
Actaea	spicata	amerikatrollbær	amerikatrollbær
Porphyra	abyssicola	ametystfjærehinne	ametystfjørehinne
Wildemania	miniata	ametystfjærehinne	ametystfjørehinne
Porphyra	miniata	ametystfjærehinne	ametystfjørehinne
Phellodendron	amurense	amurkorktre	amurkorktre
Hesperis	lutea	amursennep	amursennep
Sisymbrium	luteum	amursennep	amursennep
Anacyclus	clavatus	andeblom	andeblom
Lemna	minor	andemat	andemat
Azolla	filiculoides	andematbregne	andematbregne
Pimpinella	anisum	anis	anis
Anisum	vulgare	anis	anis
Nothofagus	antarctica	antarktisk sørbøk	antarktisk sørbøk
Araucaria	araucana	apeskrekktre	apeskrekktre
Malva	silvestris	apotekerkattost	apotekarkattost
Malva	sylvestris	apotekerkattost	apotekarkattost
Malcolmia	africana	araberlevkøy	arabarlevkøy
Verbena	bonariensis	argentinajernurt	argentinajernurt
Lepidium	bonariense	argentinakarse	argentinakarse
Chenopodium	borbasioides	argentinamelde	argentinamelde
Taraxacum	arcticum	arktisløvetann	arktisløvetann
Taraxacum	vulgare	arktisløvetann	arktisløvetann
Puccinellia	phryganodes	arktisteppesaltgras	arktisteppesaltgras
Puccinellia	vilfoidea	arktisteppesaltgras	arktisteppesaltgras
Phippsia	vilfoidea	arktisteppesaltgras	arktisteppesaltgras
Glyceria	vilfoidea	arktisteppesaltgras	arktisteppesaltgras
Catabrosa	vilfoidea	arktisteppesaltgras	arktisteppesaltgras
Atropis	vilfoidea	arktisteppesaltgras	arktisteppesaltgras
Rubus	armeniacus	arménbjørnebær	arménbjørnebær
Campanula	pyramidalis	aronstav	aronstav
Cerastium	fontanum	arve	arve
Chenopodium	album	asiamelde	asiamelde
Chenopodium	karoi	asiamelde	asiamelde
Chenopodium	prostratum	asiamelde	asiamelde
Hydrocotyle	asiatica	asiaskjoldblad	asiaskjoldblad
Centella	asiatica	asiaskjoldblad	asiaskjoldblad
Fraxinus	excelsior	ask	ask
Geranium	pyrenaicum	askerstorkenebb	askerstorkenebb
Zygodon	brebissonii	askkjølmose	askkjølmose
Mnium	conoideum	askkjølmose	askkjølmose
Bryum	conoideum	askkjølmose	askkjølmose
Zygodon	conoideus	askkjølmose	askkjølmose
Acer	negundo	asklønn	asklønn
Asparagus	officinalis	asparges	asparges
Bonnemaisonia	asparagoides	aspargesalge	aspargesalge
Hymenoclonium	serpens	aspargesalge	aspargesalge
Taraxacum	spectabile agg.	atlanterhavsløvetenner	atlanterhavsløvetenner
Taraxacum	spectabilia	atlanterhavsløvetenner	atlanterhavsløvetenner
Taraxacum	taraxacum	atlanterhavsløvetenner	atlanterhavsløvetenner
Scrophularia	scorodonia	atlantisbrunrot	atlantisbrunrot
Godetia	×hybrida	atlasklarkia	atlasklarkia
Godetia	amoena	atlasklarkia	atlasklarkia
Clarkia	amoena	atlasklarkia	atlasklarkia
Clarkia	amoena	atlasklarkia	atlasklarkia
Godetia	hybrida	atlasklarkia	atlasklarkia
Godetia	x hybrida	atlasklarkia	atlasklarkia
Silene	pseudoatocion	atlassmelle	atlassmelle
Papaver	altanticum	atlasvalmue	atlasvalmue
Papaver	atlanticum	atlasvalmue	atlasvalmue
Primula	florindae	augustnøkleblom	augustnøkleblom
Polytrichum	hyperboreum	aurbjørnemose	aurbjørnemose
Polytrichum	piliferum	aurbjørnemose	aurbjørnemose
Polytrichum	piliferum	aurbjørnemose	aurbjørnemose
Lophozia	bicrenata	aurflik	aurflik
Jungermannia	bicrenata	aurflik	aurflik
Isopaches	bicrenatus	aurflik	aurflik
Jungermannia	commutata	aurflik	aurflik
Primula	auricula	aurikkel	aurikkel
Hieracium	auricula	aurikkelsveve	aurikkelsvæve
Pilosella	lactucella	aurikkelsveve	aurikkelsvæve
Hieracium	lactucella	aurikkelsveve	aurikkelsvæve
Cardaminopsis	petraea	aurskrinneblom	aurskrinneblom
Cardamine	petraea	aurskrinneblom	aurskrinneblom
Arabis	petraea	aurskrinneblom	aurskrinneblom
Arabidopsis	petraea	aurskrinneblom	aurskrinneblom
Taraxacum	crocodes	aursundløvetann	aursundløvetann
Trematodon	brevicollis	aurtranemose	aurtranemose
Jungermannia	affinis	aurtvebladmose	aurtvebladmose
Scapania	curta	aurtvebladmose	aurtvebladmose
Scapania	curta	aurtvebladmose	aurtvebladmose
Martinellia	curta	aurtvebladmose	aurtvebladmose
Jungermannia	curta	aurtvebladmose	aurtvebladmose
Jungermannia	montana	aurtvebladmose	aurtvebladmose
Scapania	rosacea	aurtvebladmose	aurtvebladmose
Martinellia	rosacea	aurtvebladmose	aurtvebladmose
Jungermannia	rosacea	aurtvebladmose	aurtvebladmose
Papaver	nordhagenianum	avkovalmue	avkovalmue
Papaver	radicatum	avkovalmue	avkovalmue
Papaver	radicatum	avkovalmue	avkovalmue
Papaver	radicatum	avkovalmue	avkovalmue
Campanula	rotundifolia	bakkeblåklokke	bakkeblåklokke
Juniperus	communis	bakkeeiner	bakkeeiner
Viola	collina	bakkefiol	bakkefiol
Myosotis	collina	bakkeforglemmegei	bakkeminneblom
Myosotis	gracillima	bakkeforglemmegei	bakkeminneblom
Myosotis	hispida	bakkeforglemmegei	bakkeminneblom
Myosotis	ramosissima	bakkeforglemmegei	bakkeminneblom
Ptilidium	ciliare	bakkefrynse	bakkefrynse
Ptilidium	ciliare	bakkefrynse	bakkefrynse
Ptilidium	ciliare	bakkefrynse	bakkefrynse
Ptilidium	ciliare	bakkefrynse	bakkefrynse
Jungermannia	ciliaris	bakkefrynse	bakkefrynse
Jungermannia	ciliaris	bakkefrynse	bakkefrynse
Blepharozia	ciliaris	bakkefrynse	bakkefrynse
Jungermannia	hoffmannii	bakkefrynse	bakkefrynse
Jungermannia	leersii	bakkefrynse	bakkefrynse
Luzula	campestris	bakkefrytle	bakkefrytle
Luzula	campestris	bakkefrytle	bakkefrytle
Juncus	campestris	bakkefrytle	bakkefrytle
Luzula	multiflora	bakkefrytle	bakkefrytle
Juncus	multiflorus	bakkefrytle	bakkefrytle
Scorzoneroides	autumnalis	bakkefølblom	bakkefølblom
Leontodon	autumnale	bakkeføllblom	bakkefølblom
Leontodon	autumnale	bakkeføllblom	bakkefølblom
Scorzoneroides	autumnalis	bakkeføllblom	bakkefølblom
Leontodon	autumnalis	bakkeføllblom	bakkefølblom
Leontodon	autumnalis	bakkeføllblom	bakkefølblom
Coeloglossum	viride	bakkegrønnkurle	bakkegrønkurle
Coeloglossum	viride	bakkegrønnkurle	bakkegrønkurle
Amoria	montana	bakkekløver	bakkekløver
Trifolium	montanum	bakkekløver	bakkekløver
Scabiosa	columbaria	bakkeknapp	bakkeknapp
Scabiosa	dubia	bakkeknapp	bakkeknapp
Scleranthus	alpestris	bakkeknavel	bakkeknavel
Scleranthus	annuus	bakkeknavel	bakkeknavel
Scleranthus	annuus	bakkeknavel	bakkeknavel
Scleranthus	annuus	bakkeknavel	bakkeknavel
Scleranthus	polycarpos	bakkeknavel	bakkeknavel
Hypnum	affine	bakkelundmose	bakkelundmose
Hypnum	campestre	bakkelundmose	bakkelundmose
Brachythecium	campestre	bakkelundmose	bakkelundmose
Chamberlainia	campestris	bakkelundmose	bakkelundmose
Hypnum	rutabulum	bakkelundmose	bakkelundmose
Brachythecium	ryanii	bakkelundmose	bakkelundmose
Brachythecium	schimperi	bakkelundmose	bakkelundmose
Hieracium	peleteranum	bakkemattesveve	bakkemattesvæve
Pilosella	peleteriana	bakkemattesveve	bakkemattesvæve
Hieracium	peleterianum	bakkemattesveve	bakkemattesvæve
Galium	pumilum	bakkemaure	bakkemaure
Galium	sterneri	bakkemaure	bakkemaure
Thymus	acinos	bakkemynte	bakkemynte
Satureja	acinos	bakkemynte	bakkemynte
Clinopodium	acinos	bakkemynte	bakkemynte
Calamintha	acinos	bakkemynte	bakkemynte
Acinos	arvensis	bakkemynte	bakkemynte
Acinos	thymoides	bakkemynte	bakkemynte
Anthyllis	linnaei	bakkerundbelg	bakkerundskolm
Anthyllis	linnæi	bakkerundbelg	bakkerundskolm
Anthyllis	vulneraria	bakkerundbelg	bakkerundskolm
Anthyllis	vulneraria	bakkerundbelg	bakkerundskolm
Anthyllis	vulneraria	bakkerundbelg	bakkerundskolm
Anthyllis	vulneraria	bakkerundbelg	bakkerundskolm
Arenaria	serpyllifolia	bakkesandarve	bakkesandarve
Arenaria	serpyllifolia	bakkesandarve	bakkesandarve
Arenaria	serpyllifolia	bakkesandarve	bakkesandarve
Ranunculus	acer	bakkesoleie	bakkesoleie
Ranunculus	acris	bakkesoleie	bakkesoleie
Carex	ciliata	bakkestarr	bakkestorr
Carex	ericetorum	bakkestarr	bakkestorr
Viola	tricolor	bakkestemorsblom	bakkestemorsblom
Viola	tricolor	bakkestemorsblom	bakkestemorsblom
Viola	tricolor	bakkestemorsblom	bakkestemorsblom
Viola	tricolor	bakkestemorsblom	bakkestemorsblom
Viola	tricolor	bakkestemorsblom	bakkestemorsblom
Viola	tricolor	bakkestemorsblom	bakkestemorsblom
Erigeron	acer	bakkestjerne	bakkestjerne
Erigeron	acre	bakkestjerne	bakkestjerne
Trimorpha	acris	bakkestjerne	bakkestjerne
Erigeron	acris	bakkestjerne	bakkestjerne
Hieracium	cineraria	bakkesveve	bakkesvæve
Pilosella	moechiadia	bakkesveve	bakkesvæve
Hieracium	moechiadium	bakkesveve	bakkesvæve
Rumex	acetosella	bakkesyre	bakkesyre
Acetosella	vulgaris	bakkesyre	bakkesyre
Gentianella	campestris	bakkesøte	bakkesøte
Gentiana	campestris	bakkesøte	bakkesøte
Thymus	alpestris	bakketimian	bakketimian
Thymus	chamaedrys	bakketimian	bakketimian
Thymus	lanuginosus	bakketimian	bakketimian
Thymus	pulegioides	bakketimian	bakketimian
Thymus	serpyllum	bakketimian	bakketimian
Lotus	corniculatus	bakketiriltunge	bakketiriltunge
Thuidium	assimile	bakketujamose	bakketujamose
Thuidium	caudicaule	bakketujamose	bakketujamose
Thuidium	delicatulum	bakketujamose	bakketujamose
Thuidium	delicatulum	bakketujamose	bakketujamose
Thuidium	intermedium	bakketujamose	bakketujamose
Thuidium	philibertii	bakketujamose	bakketujamose
Thuidium	philibertii	bakketujamose	bakketujamose
Thuidium	pseudo-tamarisci	bakketujamose	bakketujamose
Hypnum	pseudo-tamariscinum	bakketujamose	bakketujamose
Thuidium	pycnothallum	bakketujamose	bakketujamose
Thuidium	recognitum	bakketujamose	bakketujamose
Veronica	arvensis	bakkeveronika	bakkeveronika
Matricaria	inodora	balderbrå	balderbrå
Tripleurospermum	inodorum	balderbrå	balderbrå
Matricaria	maritima	balderbrå	balderbrå
Matricaria	maritima	balderbrå	balderbrå
Tripleurospermum	maritimum	balderbrå	balderbrå
Matricaria	perforata	balderbrå	balderbrå
Tripleurospermum	perforatum	balderbrå	balderbrå
Doronicum	columnae	balkangullkurv	balkangullkorg
Echinops	commutatus	balkankuletistel	balkankuletistel
Echinops	exaltatus	balkankuletistel	balkankuletistel
Anemonoides	blanda	balkansymre	balkansymre
Anemone	blanda	balkansymre	balkansymre
Plantago	afra	ballastgreinkjempe	ballastgreinkjempe
Plantago	indica	ballastgreinkjempe	ballastgreinkjempe
Sida	rhombifolia	ballasthamp	ballasthamp
Ballota	borealis	ballasthunderot	ballasthunderot
Ballota	foetida	ballasthunderot	ballasthunderot
Ballota	nigra	ballasthunderot	ballasthunderot
Ballota	nigra	ballasthunderot	ballasthunderot
Ballota	nigra	ballasthunderot	ballasthunderot
Ballota	ruderalis	ballasthunderot	ballasthunderot
Polygonum	brittingeri	ballasthønsegras	ballasthønsegras
Polygonum	danubiale	ballasthønsegras	ballasthønsegras
Persicaria	lapathifolia	ballasthønsegras	ballasthønsegras
Polygonum	lapathifolium	ballasthønsegras	ballasthønsegras
Trifolium	elegans	ballastkløver	ballastkløver
Trifolium	hybridum	ballastkløver	ballastkløver
Centaurea	debeauxii	ballastknoppurt	ballastknoppurt
Centaurea	nemoralis	ballastknoppurt	ballastknoppurt
Centaurea	nigra	ballastknoppurt	ballastknoppurt
Galium	tricorne	ballastmaure	ballastmaure
Galium	tricornutum	ballastmaure	ballastmaure
Valerianella	carinata	ballastsalat	ballastsalat
Juncus	macer	ballastsiv	ballastsiv
Juncus	tenuis	ballastsiv	ballastsiv
Medicago	turbinata	ballastsneglebelg	ballastsnigleskolm
Ranunculus	philonotis	ballastsoleie	ballastsoleie
Ranunculus	sardous	ballastsoleie	ballastsoleie
Veronica	hederifolia	ballastveronika	ballastveronika
Veronica	sublobata	ballastveronika	ballastveronika
Securigera	securidaca	ballastvikke	ballastvikke
Trollius	europaeus	ballblom	ballblom
Trollius	europaeus	ballblom	ballblom
Pinus	balsamea	balsamedelgran	balsamedelgran
Abies	balsamea	balsamedelgran	balsamedelgran
Tanacetum	balsamita	balsamkrage	balsamkrage
Chrysanthemum	balsamita	balsamkrage	balsamkrage
Balsamita	major	balsamkrage	balsamkrage
Pyrethrum	majus	balsamkrage	balsamkrage
Balsamita	vulgaris	balsamkrage	balsamkrage
Populus	balsamifera	balsampoppel	balsampoppel
Alchemilla	baltica	baltermarikåpe	baltermarikåpe
Alchemilla	nebulosa	baltermarikåpe	baltermarikåpe
Physalis	peruviana	barbadoslykt	barbadoslykt
Rubus	bifrons	barkbjørnebær	barkbjørnebær
Lophozia	ciliata	barkflik	borkflik
Ptilidium	ciliare	barkfrynse	borkfrynse
Ptilidium	ciliare	barkfrynse	borkfrynse
Jungermannia	pulcherrima	barkfrynse	borkfrynse
Blepharozia	pulcherrima	barkfrynse	borkfrynse
Ptilidium	pulcherrimum	barkfrynse	borkfrynse
Ptilidium	pulcherrimum	barkfrynse	borkfrynse
Ptilidium	pulcherrimum	barkfrynse	borkfrynse
Tortula	danica	barkhårstjerne	borkhårstjerne
Barbula	danica	barkhårstjerne	borkhårstjerne
Tortula	pulvinata	barkhårstjerne	borkhårstjerne
Syntrichia	pulvinata	barkhårstjerne	borkhårstjerne
Barbula	pulvinata	barkhårstjerne	borkhårstjerne
Tortula	ruralis	barkhårstjerne	borkhårstjerne
Tortula	ruralis	barkhårstjerne	borkhårstjerne
Tortula	ruralis	barkhårstjerne	borkhårstjerne
Tortula	virescens	barkhårstjerne	borkhårstjerne
Syntrichia	virescens	barkhårstjerne	borkhårstjerne
Barbula	virescens	barkhårstjerne	borkhårstjerne
Hypnum	subtile	barkkrypmose	borkkrypmose
Amblystegium	subtile	barkkrypmose	borkkrypmose
Serpoleskea	subtilis	barkkrypmose	borkkrypmose
Platydictya	subtilis	barkkrypmose	borkkrypmose
Leskea	subtilis	barkkrypmose	borkkrypmose
Amblystegiella	subtilis	barkkrypmose	borkkrypmose
Chara	braunii	barkløs småkrans	borklaus småkrans
Orthodicranum	strictum	barksigd	borksigd
Dicranum	strictum	barksigd	borksigd
Orthodicranum	tauricum	barksigd	borksigd
Dicranum	tauricum	barksigd	borksigd
Taxus	baccata	barlind	barlind
Taxus	tardiva	barlind	barlind
Nemophila	insignis	barneøye	barneauge
Nemophila	menziesii	barneøye	barneauge
Polypogon	monspeliensis	bartegras	bartegras
Alopecurus	monspeliensis	bartegras	bartegras
Ocimum	basilicum	basilikum	basilikum
Seligeria	lapponica	begerblygmose	begerblygmose
Seligeria	oelandica	begerblygmose	begerblygmose
Seligeria	oelandica	begerblygmose	begerblygmose
Crataegus	calycina	begerhagtorn	begerhagtorn
Crataegus	oxyacantha	begerhagtorn	begerhagtorn
Crataegus	rhipidophylla	begerhagtorn	begerhagtorn
Fumaria	densiflora	begerjordrøyk	begerjordrøyk
Fumaria	littoralis	begerjordrøyk	begerjordrøyk
Fumaria	micrantha	begerjordrøyk	begerjordrøyk
Fumaria	officinalis	begerjordrøyk	begerjordrøyk
Crocus	chrysanthus	begerkrokus	begerkrokus
Solanum	nitidibaccatum	begersøtvier	begersøtvier
Solanum	physalifolium	begersøtvier	begersøtvier
Racomitrium	canescens	beitegråmose	beitegråmose
Rhacomitrium	elongatum	beitegråmose	beitegråmose
Racomitrium	elongatum	beitegråmose	beitegråmose
Alchemilla	gracilis	beitemarikåpe	beitemarikåpe
Alchemilla	monticola	beitemarikåpe	beitemarikåpe
Alchemilla	pastoralis	beitemarikåpe	beitemarikåpe
Alchemilla	vulgaris	beitemarikåpe	beitemarikåpe
Carex	oederi	beitestarr	beitestorr
Carex	oederi	beitestarr	beitestorr
Carex	oederi	beitestarr	beitestorr
Carex	oederi	beitestarr	beitestorr
Carex	serotina	beitestarr	beitestorr
Carex	serotina	beitestarr	beitestorr
Carex	viridula	beitestarr	beitestorr
Carex	viridula	beitestarr	beitestorr
Schistidium	ciliatum	beitesteinmose	beitesteinmose
Hedwigidium	imberbe	beitesteinmose	beitesteinmose
Gymnostomum	imberbe	beitesteinmose	beitesteinmose
Anictangium	imberbe	beitesteinmose	beitesteinmose
Hedwigia	imberbis	beitesteinmose	beitesteinmose
Hedwigia	integrifolia	beitesteinmose	beitesteinmose
Hedwigidium	integrifolium	beitesteinmose	beitesteinmose
Hieracium	vulgatum agg.	beitesvever	beitesvæver
Sphagnum	aconiense	beitetorvmose	beitetorvmose
Sphagnum	porosum	beitetorvmose	beitetorvmose
Sphagnum	squarrosulum	beitetorvmose	beitetorvmose
Sphagnum	squarrosum	beitetorvmose	beitetorvmose
Sphagnum	squarrosum	beitetorvmose	beitetorvmose
Sphagnum	squarrosum	beitetorvmose	beitetorvmose
Sphagnum	squarrosum	beitetorvmose	beitetorvmose
Sphagnum	tenellum	beitetorvmose	beitetorvmose
Sphagnum	teres	beitetorvmose	beitetorvmose
Sphagnum	teres	beitetorvmose	beitetorvmose
Sphagnum	teres	beitetorvmose	beitetorvmose
Sphagnum	teres	beitetorvmose	beitetorvmose
